image_id,split,mean_intensity,std_intensity,min_intensity,max_intensity
test_0000,test,0.017928360030055046,0.03579217568039894,0.0,0.3529411852359772
test_0001,test,0.030114447697997093,0.05092234909534454,0.0,0.3529411852359772
test_0002,test,0.03491947054862976,0.07001791894435883,0.0,0.3529411852359772
test_0003,test,0.035618264228105545,0.06188557296991348,0.0,0.3529411852359772
test_0004,test,0.06784692406654358,0.10664035379886627,0.0,0.3529411852359772
test_0005,test,0.0372004508972168,0.08069980889558792,0.0,0.3529411852359772
test_0006,test,0.025675278156995773,0.04646996036171913,0.0,0.3529411852359772
test_0007,test,0.030364930629730225,0.06832252442836761,0.0,0.3529411852359772
test_0008,test,0.03255651146173477,0.07385298609733582,0.0,0.3529411852359772
test_0009,test,0.03131552413105965,0.058610085397958755,0.0,0.3529411852359772
test_0010,test,0.07286383211612701,0.10469197481870651,0.0,0.3529411852359772
test_0011,test,0.034554995596408844,0.06163166090846062,0.0,0.3529411852359772
train_0000,train,0.023268815129995346,0.03790844976902008,0.0,0.3529411852359772
train_0001,train,0.036390118300914764,0.07305282354354858,0.0,0.3529411852359772
train_0002,train,0.020197611302137375,0.05039053410291672,0.0,0.3529411852359772
train_0003,train,0.043696627020835876,0.07465241104364395,0.0,0.3529411852359772
train_0004,train,0.07168136537075043,0.10582008957862854,0.0,0.3529411852359772
train_0005,train,0.036517754197120667,0.0783098042011261,0.0,0.3529411852359772
train_0006,train,0.01934180222451687,0.0344172865152359,0.0,0.3529411852359772
train_0007,train,0.02231217920780182,0.054923269897699356,0.0,0.3529411852359772
train_0008,train,0.021429743617773056,0.048619870096445084,0.0,0.3529411852359772
train_0009,train,0.03181116282939911,0.06314219534397125,0.0,0.3529411852359772
train_0010,train,0.05793403461575508,0.09135951101779938,0.0,0.3529411852359772
train_0011,train,0.041357722133398056,0.07328131049871445,0.0,0.3529411852359772
train_0012,train,0.0267283134162426,0.05566982924938202,0.0,0.3529411852359772
train_0013,train,0.04122985154390335,0.07821886241436005,0.0,0.3529411852359772
train_0014,train,0.04473027586936951,0.07802721858024597,0.0,0.3529411852359772
train_0015,train,0.03555728867650032,0.07567482441663742,0.0,0.3529411852359772
train_0016,train,0.045401185750961304,0.08485504239797592,0.0,0.3529411852359772
train_0017,train,0.03889567032456398,0.07926201075315475,0.0,0.3529411852359772
train_0018,train,0.024388093501329422,0.03728479519486427,0.0,0.3529411852359772
train_0019,train,0.03413426876068115,0.0744393840432167,0.0,0.3529411852359772
train_0020,train,0.033866435289382935,0.061307840049266815,0.0,0.3529411852359772
train_0021,train,0.023302864283323288,0.050332292914390564,0.0,0.3529411852359772
train_0022,train,0.05237588658928871,0.09394749999046326,0.0,0.3529411852359772
train_0023,train,0.045274268835783005,0.07969342172145844,0.0,0.3529411852359772
train_0024,train,0.020398788154125214,0.038202133029699326,0.0,0.3529411852359772
train_0025,train,0.028376322239637375,0.0627640038728714,0.0,0.3529411852359772
train_0026,train,0.037682391703128815,0.07090893387794495,0.0,0.3529411852359772
train_0027,train,0.036254942417144775,0.06829863786697388,0.0,0.3529411852359772
train_0028,train,0.0506293848156929,0.08871498703956604,0.0,0.3529411852359772
train_0029,train,0.037220198661088943,0.07678242027759552,0.0,0.3529411852359772
train_0030,train,0.021059643477201462,0.04340115562081337,0.0,0.3529411852359772
train_0031,train,0.030278168618679047,0.0701945424079895,0.0,0.3529411852359772
train_0032,train,0.024610035121440887,0.052144259214401245,0.0,0.3529411852359772
train_0033,train,0.03649154677987099,0.061713870614767075,0.0,0.3529411852359772
train_0034,train,0.06535777449607849,0.0972658321261406,0.0,0.3529411852359772
train_0035,train,0.0429181307554245,0.08278929442167282,0.0,0.3529411852359772
train_0036,train,0.024860577657818794,0.04025769978761673,0.0,0.3529411852359772
train_0037,train,0.027868712320923805,0.06154364347457886,0.0,0.3529411852359772
train_0038,train,0.037263642996549606,0.07429837435483932,0.0,0.3529411852359772
train_0039,train,0.040073953568935394,0.08210217952728271,0.0,0.3529411852359772
train_0040,train,0.0680227279663086,0.10003700107336044,0.0,0.3529411852359772
train_0041,train,0.048474185168743134,0.08113029599189758,0.0,0.3529411852359772
train_0042,train,0.023510385304689407,0.03427370637655258,0.0,0.3529411852359772
train_0043,train,0.03182576596736908,0.0705026388168335,0.0,0.3529411852359772
train_0044,train,0.024197150021791458,0.05878004804253578,0.0,0.3529411852359772
train_0045,train,0.029918000102043152,0.0583222322165966,0.0,0.3529411852359772
train_0046,train,0.0738590657711029,0.10576062649488449,0.0,0.3529411852359772
train_0047,train,0.04566136375069618,0.08285099267959595,0.0,0.3529411852359772
train_0048,train,0.022408999502658844,0.03873741626739502,0.0,0.3529411852359772
train_0049,train,0.037240661680698395,0.07370777428150177,0.0,0.3529411852359772
train_0050,train,0.02425830438733101,0.05796413868665695,0.0,0.3529411852359772
train_0051,train,0.03863244503736496,0.06772398948669434,0.0,0.3529411852359772
train_0052,train,0.04894726350903511,0.0873023048043251,0.0,0.3529411852359772
train_0053,train,0.0352729968726635,0.07072383165359497,0.0,0.3529411852359772
train_0054,train,0.015309353359043598,0.04169637709856033,0.0,0.3529411852359772
train_0055,train,0.026077691465616226,0.05172928795218468,0.0,0.3529411852359772
train_0056,train,0.02253914810717106,0.05370252579450607,0.0,0.3529411852359772
train_0057,train,0.030140778049826622,0.06295888870954514,0.0,0.3529411852359772
train_0058,train,0.05364876985549927,0.08886846899986267,0.0,0.3529411852359772
train_0059,train,0.03818730637431145,0.08219153434038162,0.0,0.3529411852359772
train_0060,train,0.014360316097736359,0.03387511149048805,0.0,0.3529411852359772
train_0061,train,0.02230123057961464,0.05550367385149002,0.0,0.3529411852359772
train_0062,train,0.03801156207919121,0.06958255916833878,0.0,0.3529411852359772
train_0063,train,0.033969536423683167,0.07225757837295532,0.0,0.3529411852359772
train_0064,train,0.06820368021726608,0.10149870067834854,0.0,0.3529411852359772
train_0065,train,0.04009130224585533,0.08345988392829895,0.0,0.3529411852359772
train_0066,train,0.01509602926671505,0.03757460415363312,0.0,0.3529411852359772
train_0067,train,0.029152724891901016,0.05247935280203819,0.0,0.3529411852359772
train_0068,train,0.04917602986097336,0.0793672502040863,0.0,0.3529411852359772
train_0069,train,0.03691711649298668,0.06419160217046738,0.0,0.3529411852359772
train_0070,train,0.05519989877939224,0.08787307888269424,0.0,0.3529411852359772
train_0071,train,0.03934931010007858,0.07190581411123276,0.0,0.3529411852359772
train_0072,train,0.017009422183036804,0.03284426033496857,0.0,0.3529411852359772
train_0073,train,0.0408780612051487,0.07537129521369934,0.0,0.3529411852359772
train_0074,train,0.04306724667549133,0.07798326015472412,0.0,0.3529411852359772
train_0075,train,0.03355037048459053,0.06643964350223541,0.0,0.3529411852359772
train_0076,train,0.06841909885406494,0.10408899188041687,0.0,0.3529411852359772
train_0077,train,0.03730013966560364,0.07298725843429565,0.0,0.3529411852359772
train_0078,train,0.0262098740786314,0.045790355652570724,0.0,0.3529411852359772
train_0079,train,0.041612397879362106,0.06960462033748627,0.0,0.3529411852359772
val_0000,val,0.015179205685853958,0.024781184270977974,0.0,0.34117648005485535
val_0001,val,0.03745260834693909,0.06784812361001968,0.0,0.3529411852359772
val_0002,val,0.0208284892141819,0.052686311304569244,0.0,0.3529411852359772
val_0003,val,0.04459833353757858,0.08029338717460632,0.0,0.3529411852359772
val_0004,val,0.06476794183254242,0.10277289897203445,0.0,0.3529411852359772
val_0005,val,0.040429867804050446,0.0829688310623169,0.0,0.3529411852359772
val_0006,val,0.021981513127684593,0.0424237921833992,0.0,0.3529411852359772
val_0007,val,0.03076004423201084,0.06936479359865189,0.0,0.3529411852359772
val_0008,val,0.03315094858407974,0.07181926816701889,0.0,0.3529411852359772
val_0009,val,0.025866281241178513,0.0551922544836998,0.0,0.3529411852359772
val_0010,val,0.048353128135204315,0.09063734114170074,0.0,0.3529411852359772
